"","LFID","SHOTNUMBER","TIME","GLON","GLAT","ZG","HLON","HLAT","ZH","TLON","TLAT","ZT","RH10","RH15","RH20","RH25","RH30","RH35","RH40","RH45","RH50","RH55","RH60","RH65","RH70","RH75","RH80","RH85","RH90","RH95","RH96","RH97","RH98","RH99","RH100","AZIMUTH","INCIDENTANGLE","RANGE","COMPLEXITY","SENSITIVITY","CHANNEL_ZT","CHANNEL_ZG","CHANNEL_RH","FID","plotID","pointID","mOrder","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","module","plot","plotEdge","Shape__Are","Shape__Len","GlobalID","filename","sensor"
"41643",1958686797,95440783,85456.84929,-147.473998,65.157362,264.45,212.526002,65.157362,264.45,212.526003,65.157361,266.51,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.19,0.19,0.34,0.34,0.64,0.64,0.64,0.79,0.94,2.06,354.29,1.437,12481.99,0.103,0.979,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"41645",1958686797,95440785,85456.84979,-147.474266,65.15743,263.09,212.525734,65.15743,263.09,212.525735,65.15743,265.08,-0.94,-0.79,-0.64,-0.64,-0.49,-0.34,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.56,0.56,0.71,0.71,0.86,1.99,352.18,1.478,12483.94,0.105,0.974,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"41646",1958686797,95440786,85456.85004,-147.474079,65.157459,264.02,212.525921,65.157459,264.02,212.525922,65.157458,266,-0.97,-0.82,-0.67,-0.67,-0.52,-0.37,-0.37,-0.22,-0.22,-0.22,-0.07,-0.07,0.07,0.07,0.22,0.22,0.37,0.52,0.52,0.67,0.67,0.82,1.99,353.78,1.487,12483.34,0.157,0.981,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"41648",1958686797,95440788,85456.85054,-147.474354,65.157529,262.81,212.525646,65.157529,262.81,212.525646,65.157528,264.87,-1.09,-0.79,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.56,0.56,0.71,0.71,1.01,2.06,351.7,1.53,12484.39,0.124,0.978,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"41649",1958686797,95440789,85456.85079,-147.474156,65.157559,263.47,212.525844,65.157559,263.47,212.525844,65.157558,266.36,-1.09,-0.79,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.41,0.56,0.71,0.86,1.01,1.31,1.76,2.88,353.34,1.54,12484.23,0.128,0.975,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"41652",1958686797,95440792,85456.85154,-147.474234,65.157652,263.07,212.525766,65.157652,263.07,212.525767,65.157651,264.98,-1.09,-0.94,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.41,0.56,0.56,0.56,0.71,0.86,1.91,352.92,1.589,12484.83,0.05,0.976,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"42082",1958686797,95441222,85456.95904,-147.473816,65.157604,264.85,212.526184,65.157604,264.85,212.526184,65.157604,266.83,-1.05,-0.75,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,-0.15,0,0,0.15,0.15,0.3,0.45,0.6,0.6,0.6,0.75,0.9,1.99,351.93,1.523,12482.74,0.088,0.977,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"42083",1958686797,95441223,85456.95929,-147.473629,65.157633,266.01,212.526371,65.157633,266.01,212.526371,65.157632,268.07,-0.97,-0.82,-0.67,-0.67,-0.52,-0.37,-0.37,-0.22,-0.22,-0.07,-0.07,-0.07,0.07,0.07,0.22,0.37,0.37,0.67,0.67,0.67,0.82,0.97,2.06,353.49,1.533,12480.79,0.157,0.976,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"42085",1958686797,95441225,85456.95979,-147.473726,65.157506,265.61,212.526274,65.157506,265.61,212.526274,65.157505,267.67,-1.09,-0.79,-0.79,-0.64,-0.49,-0.49,-0.34,-0.34,-0.19,-0.19,-0.04,-0.04,0.11,0.11,0.26,0.26,0.41,0.56,0.56,0.71,0.71,1.01,2.06,352.37,1.471,12481.84,0.15,0.975,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"42086",1958686797,95441226,85456.96004,-147.473539,65.157535,266.7,212.526461,65.157535,266.7,212.526461,65.157534,268.68,-1.01,-0.86,-0.71,-0.56,-0.56,-0.41,-0.41,-0.26,-0.26,-0.11,-0.11,0.04,0.04,0.04,0.19,0.34,0.34,0.49,0.64,0.64,0.79,0.94,1.99,353.98,1.481,12480.79,0.079,0.973,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"42088",1958686797,95441228,85456.96054,-147.473643,65.157409,265.78,212.526357,65.157409,265.78,212.526357,65.157409,267.84,-1.05,-0.9,-0.75,-0.6,-0.45,-0.45,-0.3,-0.3,-0.15,-0.15,0,0,0.15,0.15,0.3,0.3,0.45,0.6,0.75,0.75,0.9,1.05,2.06,352.79,1.419,12480.49,0.089,0.97,1,1,1,1758,"BONA_010","41",137,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.157503,-147.473951,"WGS84","6N",477781.921,7226091.588,0.11,252.8,0.13,250.31,254.73,0.57,0.5,"woodyWetlands","Histosols","Geo 7X","20160823",603,1.7,0.8,"bet|cdw|cfc|dhp|div|hbp|vst","R","137R",40,9032.75,380.163254023512,"d5bf81fe-ddd9-4d93-ae14-46e3da22d2c6","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"47983",1958686797,95447125,85458.4348,-147.464117,65.156057,376.46,212.535883,65.156057,376.46,212.535882,65.156057,380.4,-1.35,-1.05,-0.75,-0.6,-0.45,-0.3,-0.3,-0.15,0,0.15,0.3,0.45,0.6,0.75,0.9,1.2,1.5,1.95,2.1,2.25,2.55,2.85,3.93,74.64,0.414,12368.99,0.188,0.982,1,1,1,1769,"BONA_025","41",649,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.156207,-147.463694,"WGS84","6N",478261.659,7225943.521,0.17,369.23,0.15,363.78,375.58,13.71,88.8,"shrubScrub","Inceptisols","Geo 7X","20160928",809,2.2,0.9,"div","R","649R",40,9031.875,380.144815703694,"194004f1-be34-4c06-94e0-6c5f4ddcfbdb","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"48578",1958686797,95447720,85458.58356,-147.463915,65.156337,378.17,212.536085,65.156337,380.2,212.536085,65.156337,383.83,-1.05,-0.6,-0.3,0,0.3,0.75,1.05,1.2,1.5,1.65,1.8,1.95,2.25,2.4,2.7,2.85,3.3,3.75,3.75,3.9,4.2,4.5,5.66,56.72,0.35,12367.19,0.321,0.981,1,1,1,1769,"BONA_025","41",649,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.156207,-147.463694,"WGS84","6N",478261.659,7225943.521,0.17,369.23,0.15,363.78,375.58,13.71,88.8,"shrubScrub","Inceptisols","Geo 7X","20160928",809,2.2,0.9,"div","R","649R",40,9031.875,380.144815703694,"194004f1-be34-4c06-94e0-6c5f4ddcfbdb","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"48579",1958686797,95447721,85458.58381,-147.46374,65.156364,379.53,212.53626,65.156364,382.53,212.536259,65.156364,385.71,-0.94,-0.49,-0.04,0.41,0.71,1.16,1.61,1.76,2.06,2.36,2.51,2.81,2.96,3.11,3.41,3.71,4.01,4.31,4.46,4.61,4.76,5.06,6.18,58.05,0.39,12366.44,0.366,0.982,1,1,1,1769,"BONA_025","41",649,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.156207,-147.463694,"WGS84","6N",478261.659,7225943.521,0.17,369.23,0.15,363.78,375.58,13.71,88.8,"shrubScrub","Inceptisols","Geo 7X","20160928",809,2.2,0.9,"div","R","649R",40,9031.875,380.144815703694,"194004f1-be34-4c06-94e0-6c5f4ddcfbdb","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"48581",1958686797,95447723,85458.58431,-147.463826,65.15624,381.31,212.536174,65.15624,381.31,212.536174,65.15624,384.16,-3.11,-2.51,-2.06,-1.76,-1.46,-1.16,-1.01,-0.71,-0.56,-0.41,-0.26,-0.11,0.04,0.19,0.34,0.49,0.79,1.09,1.24,1.39,1.54,1.69,2.85,65.51,0.342,12365.54,0.242,0.983,1,1,1,1769,"BONA_025","41",649,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.156207,-147.463694,"WGS84","6N",478261.659,7225943.521,0.17,369.23,0.15,363.78,375.58,13.71,88.8,"shrubScrub","Inceptisols","Geo 7X","20160928",809,2.2,0.9,"div","R","649R",40,9031.875,380.144815703694,"194004f1-be34-4c06-94e0-6c5f4ddcfbdb","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
"48582",1958686797,95447724,85458.58456,-147.463651,65.156267,384.08,212.536349,65.156267,384.08,212.536348,65.156267,387.01,-3.41,-2.81,-2.51,-2.06,-1.76,-1.46,-1.31,-1.01,-0.86,-0.56,-0.41,-0.26,-0.11,0.19,0.34,0.49,0.79,1.09,1.24,1.39,1.54,1.84,2.92,65.95,0.382,12363.74,0.321,0.982,1,1,1,1769,"BONA_025","41",649,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.156207,-147.463694,"WGS84","6N",478261.659,7225943.521,0.17,369.23,0.15,363.78,375.58,13.71,88.8,"shrubScrub","Inceptisols","Geo 7X","20160928",809,2.2,0.9,"div","R","649R",40,9031.875,380.144815703694,"194004f1-be34-4c06-94e0-6c5f4ddcfbdb","./datasets/lidar/LVIS/BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019"
