"","X","plotID","LFID","SHOTNUMBER","TIME","GLON","GLAT","ZG","HLON","HLAT","ZH","TLON","TLAT","ZT","AZIMUTH","INCIDENTANGLE","RANGE","COMPLEXITY","SENSITIVITY","CHANNEL_ZT","CHANNEL_ZG","CHANNEL_RH","FID","plotID.1","pointID","mOrder","country","state","county","domain","domainID","siteName","siteID","plotType","subtype","subSpec","plotSize","plotDim","latitude","longitude","datum","utmZone","easting","northing","horzUncert","elevation","vertUncert","minElev","maxElev","slope","aspect","nlcdClass","soilOrder","coordSrc","date","gpsLogs","plotPdop","plotHdop","appMods","module","plot","plotEdge","Shape__Are","Shape__Len","GlobalID","filename","sensor","scientificName","BA","plot_BA","sp_prop","RH","value","rel_value"
"11",50388,"BONA_021",1958686797,95449534,85459.03706,-147.456697,65.15154,446.94,212.543302,65.151541,448.74,212.543301,65.151542,451.7,150.47,2.855,12313.89,0.344,0.978,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.2,-0.252631578947368
"12",50390,"BONA_021",1958686797,95449536,85459.03756,-147.456972,65.151607,445.28,212.543027,65.151608,446.55,212.543025,65.151609,449.51,151.2,2.795,12314.04,0.293,0.976,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.2,-0.283687943262411
"13",50391,"BONA_021",1958686797,95449537,85459.03781,-147.456779,65.151639,448.37,212.543221,65.151639,448.37,212.543219,65.15164,451.36,150.29,2.802,12313.29,0.309,0.982,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-2.36,-0.789297658862876
"14",50394,"BONA_021",1958686797,95449540,85459.03856,-147.456863,65.151733,447.08,212.543137,65.151733,447.08,212.543134,65.151735,451.65,150.13,2.75,12312.4,0.252,0.982,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.24,-0.271334792122538
"15",51304,"BONA_021",1958686797,95450450,85459.26606,-147.456341,65.151745,451.76,212.543658,65.151746,453.51,212.543657,65.151747,456.4,153.14,2.774,12308.2,0.342,0.978,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.16,-0.25
"16",51307,"BONA_021",1958686797,95450453,85459.26681,-147.456247,65.151649,451.89,212.543753,65.151649,451.89,212.543751,65.151651,455.64,153.24,2.827,12307.15,0.173,0.981,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-1.16,-0.310160427807487
"17",51310,"BONA_021",1958686797,95450456,85459.26756,-147.456164,65.151559,451.53,212.54383,65.151564,464.52,212.543828,65.151565,467.44,153.36,2.877,12309.09,0.488,0.981,1,1,1,1776,"BONA_021",41,393,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","distributed","basePlot",NA,1600,"40m x 40m",65.151634,-147.456573,"WGS84","6N",478591.815,7225431.467,0.14,438.58,0.18,433.36,443.79,0.74,0.7,"shrubScrub","Inceptisols","Geo 7X",20160610,602,5.2,2.3,"cdw|cfc|dhp|div|hbp|vst","R","393R",40,9028.765625,380.079522217875,"1bd31903-3ed8-434a-bc32-cc18c44341b5","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Betula neoalaskana Sarg.",6489.2259,6943.6116,93.4560611080263,10,-0.56,-0.0351979886863608
"18",11134,"BONA_084",1958686797,95410269,85449.22073,-147.513335,65.155414,277.95,212.486671,65.155406,292.39,212.486672,65.155405,295.12,344.77,3.708,12491.77,0.547,0.979,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.93,-0.0541958041958042
"19",11137,"BONA_084",1958686797,95410272,85449.22148,-147.513245,65.155317,275.79,212.486761,65.155309,291.05,212.486762,65.155307,293.81,344.84,3.654,12494.32,0.525,0.974,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.82,-0.0454797559622851
"20",11138,"BONA_084",1958686797,95410273,85449.22173,-147.513058,65.155346,275.98,212.486947,65.155338,289.48,212.486947,65.155337,291.35,345.51,3.658,12493.12,0.157,0.975,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-1.01,-0.0657124268054652
"21",11139,"BONA_084",1958686797,95410274,85449.22198,-147.513353,65.155196,273.93,212.486652,65.155188,289.19,212.486653,65.155187,291.4,344.22,3.6,12494.18,0.536,0.977,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.64,-0.0366342301087579
"22",11140,"BONA_084",1958686797,95410275,85449.22223,-147.513166,65.155225,274.03,212.486839,65.155217,289.33,212.48684,65.155216,292.02,344.9,3.604,12495.53,0.541,0.976,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.86,-0.0478043357420789
"23",11141,"BONA_084",1958686797,95410276,85449.22248,-147.512968,65.155256,274.15,212.487037,65.155247,290.23,212.487037,65.155246,291.88,345.61,3.608,12495.22,0.131,0.974,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-1.05,-0.0592216582064298
"24",11142,"BONA_084",1958686797,95410277,85449.22273,-147.513263,65.155099,272.26,212.486741,65.155093,283.78,212.486742,65.15509,287.67,344.29,3.547,12495.98,0.397,0.98,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.86,-0.0558079169370539
"25",11143,"BONA_084",1958686797,95410278,85449.22298,-147.513076,65.155128,272.41,212.486928,65.155121,285.8,212.486929,65.155119,288.49,344.98,3.55,12495.53,0.627,0.981,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.37,-0.0230099502487562
"26",11144,"BONA_084",1958686797,95410279,85449.22323,-147.512879,65.155159,272.38,212.487126,65.155151,285.54,212.487127,65.15515,288.76,345.7,3.555,12496.58,0.542,0.978,1,1,1,1782,"BONA_084",41,27033,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.155247,-147.512957,"WGS84","6N",475951.369,7225854.416,0.15,263.46,0.2,260.18,268.25,5.14,2.9,"deciduousForest","Inceptisols","Geo 7X",20160516,132,2.7,2,"bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst","T","27033T",40,9031.21875,380.130602387283,"0d3ddec4-51a1-40de-8542-b1bdd5a0f605","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Populus tremuloides Michx.",4103.8002,4186.4283,98.0262865125386,10,-0.75,-0.0457875457875458
"27",12479,"BONA_070",1958686797,95411614,85449.55698,-147.509961,65.153784,248.7,212.49004,65.153783,253.19,212.49004,65.153781,256,347.35,2.666,12509.07,0.392,0.977,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,10,-0.94,-0.128767123287671
"28",12481,"BONA_070",1958686797,95411616,85449.55748,-147.510057,65.153657,247.9,212.489944,65.153656,251.79,212.489944,65.153655,253.25,346.58,2.607,12508.48,0.15,0.978,1,1,1,1785,"BONA_070",41,153,"unitedStates","AK","Fairbanks North Star Borough","Taiga","D19","Caribou Creek - Poker Flats Watershed","BONA","tower","basePlot",NA,1600,"40m x 40m",65.153632,-147.509712,"WGS84","6N",476102.033,7225673.233,0.1,237.66,0.1,235.97,239.45,3.03,316,"evergreenForest","Histosols","Geo 7X",20160518,123,2.3,1,"bbc|bgc|cdw|cfc|dhp|div|hbp|ltr|sme|vst","T","153T",40,9030.109375,380.107555900089,"a48b98f9-1df6-48db-8405-66597c550ec2","./lidar/LVIS/NEON_BONA/0_dl/LVISF2_ABoVE2019_0722_R2003_085446.TXT","facility_2019","Picea mariana (Mill.) Britton, Sterns & Poggenb.",1960.6941,2114.9505,92.7063824898029,10,-0.97,-0.181308411214953
